id;nome;cnpj;contrato_nome;contrato_cnpj;corporacao;grupo;isUnderestablishment;cnpjnumber;ender;enderIdentInfo;districtName;townName;ibgeCode;postCode;country;countryCode;latitude;longitude;semana;open;close;tipoTelefone;codigoPais;codigoArea;numeroTelefone
0;Banco do Brasil S/A;00000000000191;PATRIMONIUS PARTICIPACOES LTDA;07784103000139;PATRIMONIUS PARTICIPACOES LTDA;PATRIMONIUS PARTICIPACOES LTDA;False;07784103000139;RUA EPAMINONDAS OTONI 774 - CENTRO;NA;CENTRO;TEOFILO OTONI;0316860;39800013;BRASIL;BRA;0.00;0.00;SEXTA_FEIRA;11:00:00Z;21:00:00Z;FIXO;0;00;00000000
1;Banco do Brasil S/A;00000000000191;POTENCIAL LOTERIAS LTDA;08191494000140;POTENCIAL LOTERIAS LTDA;POTENCIAL LOTERIAS LTDA;False;08191494000140;AVENIDA  OITO N: 50 CARREIRA COMPRIDA;NA;FRIMISA;SANTA LUZIA;0315780;33045090;BRASIL;BRA;-19.754296400;-43.88317610;SEXTA_FEIRA;11:00:00Z;20:00:00Z;FIXO;0;00;00000000
2;Banco do Brasil S/A;00000000000191;POTENCIAL LOTERIAS LTDA;08191494000140;POTENCIAL LOTERIAS LTDA;POTENCIAL LOTERIAS LTDA;False;08191494000140;RUA DO CARMO 450 LOJA B;NA;CENTRO;SANTA LUZIA;0315780;33010200;BRASIL;BRA;-19.766706200;-43.86155540;SEXTA_FEIRA;11:00:00Z;21:00:00Z;FIXO;0;00;00000000
3;Banco do Brasil S/A;00000000000191;POTENCIAL LOTERIAS LTDA;08191494000140;POTENCIAL LOTERIAS LTDA;POTENCIAL LOTERIAS LTDA;False;08191494000140;RUA RUA TIRADENTES 271 LOJA A;NA;CENTRO;ITABIRA;0313170;35900013;BRASIL;BRA;-19.620808100;-43.22575330;SEXTA_FEIRA;11:00:00Z;21:00:00Z;FIXO;0;00;00000000
4;Banco do Brasil S/A;00000000000191;POTENCIAL LOTERIAS LTDA;08191494000140;POTENCIAL LOTERIAS LTDA;POTENCIAL LOTERIAS LTDA;False;08191494000140;RUA COMENDADOR ANTONIO ALVES 457;NA;CENTRO;PEDRO LEOPOLDO;0314930;33600000;BRASIL;BRA;-19.575116100;-44.02842670;SEXTA_FEIRA;11:00:00Z;21:00:00Z;FIXO;0;00;00000000
5;Banco do Brasil S/A;00000000000191;POTENCIAL LOTERIAS LTDA;08191494000140;POTENCIAL LOTERIAS LTDA;POTENCIAL LOTERIAS LTDA;False;08191494000140;RUA AFONSO PENA 89;NA;CENTRO;CONSELHEIRO LAFAIETE;0311830;36400000;BRASIL;BRA;-20.660779100;-43.78957310;SEXTA_FEIRA;11:00:00Z;21:00:00Z;FIXO;0;00;00000000
6;Banco do Brasil S/A;00000000000191;POTENCIAL LOTERIAS LTDA;08191494000140;POTENCIAL LOTERIAS LTDA;POTENCIAL LOTERIAS LTDA;False;08191494000140;RUA  OLIMPUS 475;NA;ANA LUCIA;SABARA;0315670;34710110;BRASIL;BRA;-19.878583700;-43.90619750;SEXTA_FEIRA;11:00:00Z;21:00:00Z;FIXO;0;00;00000000
7;Banco do Brasil S/A;00000000000191;POTENCIAL LOTERIAS LTDA;08191494000140;POTENCIAL LOTERIAS LTDA;POTENCIAL LOTERIAS LTDA;False;08191494000140;AVENIDA BRASILIA N 196 LOJA 05;NA;SAO BENEDITO;SANTA LUZIA;0315780;33120510;BRASIL;BRA;-19.792281400;-43.93172979;SEXTA_FEIRA;12:00:00Z;20:00:00Z;FIXO;0;00;00000000
8;Banco do Brasil S/A;00000000000191;POTENCIAL LOTERIAS LTDA;08191494000140;POTENCIAL LOTERIAS LTDA;POTENCIAL LOTERIAS LTDA;False;08191494000140;AVENIDA CAMPOS DE OURIQUE N: 1603;NA;JARDIM DAS ALTEROSAS - 1A SECA;BETIM;0310670;32670705;BRASIL;BRA;-19.951040900;-44.15514580;SEXTA_FEIRA;11:00:00Z;21:00:00Z;FIXO;0;00;00000000
9;Banco do Brasil S/A;00000000000191;POTENCIAL LOTERIAS LTDA;08191494000140;POTENCIAL LOTERIAS LTDA;POTENCIAL LOTERIAS LTDA;False;08191494000140;RUA JOSE MARIA ALKIMIM Nº 100;NA;ELIANE (JUSTINOPOLIS);RIBEIRAO DAS NEVES;0315460;33943110;BRASIL;BRA;-19.813031400;-44.02624070;SEXTA_FEIRA;11:00:00Z;20:00:00Z;FIXO;0;00;00000000
