Concurso;Data do Sorteio;Bola1;Bola2;Bola3;Bola4;Bola5;Bola6;Ganhadores 6 acertos;Cidade / UF;Rateio 6 acertos;Ganhadores 5 acertos;Rateio 5 acertos;Ganhadores 4 acertos;Rateio 4 acertos;Acumulado 6 acertos;Arrecadação Total;Estimativa prêmio;Acumulado Sorteio Especial Mega da Virada;Observação
1;11/03/1996;4;5;30;33;41;52;0;;R$0,00;17;R$39.158,92;2016;R$330,21;R$1.714.650,23;R$0,00;R$0,00;R$0,00;
2;18/03/1996;9;37;39;41;43;49;1;PR;R$2.307.162,23;65;R$14.424,02;4488;R$208,91;R$0,00;R$0,00;R$0,00;R$0,00;
3;25/03/1996;10;11;29;30;36;47;2;"RN; SP";R$391.192,51;62;R$10.515,93;4261;R$153,01;R$0,00;R$0,00;R$0,00;R$0,00;
4;01/04/1996;1;5;6;27;42;59;0;;R$0,00;39;R$15.322,24;3311;R$180,48;R$717.080,75;R$0,00;R$0,00;R$0,00;
5;08/04/1996;1;2;6;16;19;46;0;;R$0,00;98;R$5.318,10;5399;R$96,53;R$1.342.488,85;R$0,00;R$0,00;R$0,00;
6;15/04/1996;7;13;19;22;40;47;0;;R$0,00;109;R$7.214,66;7147;R$110,03;R$2.286.166,33;R$0,00;R$0,00;R$0,00;
7;22/04/1996;3;5;20;21;38;56;0;;R$0,00;100;R$8.746,05;5736;R$152,48;R$3.335.692,28;R$0,00;R$0,00;R$0,00;
8;29/04/1996;4;17;37;38;47;53;0;;R$0,00;60;R$16.084,11;5262;R$183,40;R$4.493.748,19;R$0,00;R$0,00;R$0,00;
9;06/05/1996;8;43;54;55;56;60;0;;R$0,00;17;R$60.043,79;2175;R$469,31;R$5.718.641,49;R$0,00;R$0,00;R$0,00;
10;13/05/1996;4;18;21;25;38;57;0;;R$0,00;251;R$6.638,45;12590;R$132,35;R$13.334.769,81;R$0,00;R$0,00;R$0,00;
11;20/05/1996;15;25;37;38;58;59;1;RJ;R$15.591.365,07;148;R$12.706,05;9442;R$199,16;R$0,00;R$0,00;R$0,00;R$0,00;
12;27/05/1996;4;16;19;20;27;43;0;;R$0,00;108;R$6.791,17;6454;R$113,64;R$880.136,24;R$0,00;R$0,00;R$0,00;
13;03/06/1996;18;32;47;50;54;56;0;;R$0,00;43;R$20.543,98;2934;R$301,09;R$1.940.205,35;R$0,00;R$0,00;R$0,00;
14;10/06/1996;2;16;23;27;47;53;0;;R$0,00;85;R$10.458,19;5323;R$167,00;R$3.006.941,32;R$0,00;R$0,00;R$0,00;
15;17/06/1996;12;33;35;51;52;60;0;;R$0,00;57;R$17.919,89;3931;R$259,84;R$4.232.661,35;R$0,00;R$0,00;R$0,00;
16;24/06/1996;20;32;34;49;58;60;0;;R$0,00;31;R$33.307,13;3250;R$317,70;R$5.471.686,62;R$0,00;R$0,00;R$0,00;
17;01/07/1996;6;10;13;19;20;51;1;SP;R$6.789.869,08;144;R$7.628,37;9376;R$117,16;R$0,00;R$0,00;R$0,00;R$0,00;
18;08/07/1996;23;27;36;37;42;56;0;;R$0,00;52;R$13.763,52;4484;R$159,61;R$858.843,48;R$0,00;R$0,00;R$0,00;
19;15/07/1996;5;10;12;24;25;60;0;;R$0,00;159;R$5.380,14;9250;R$92,48;R$10.506.266,73;R$0,00;R$0,00;R$0,00;
20;22/07/1996;11;25;28;30;33;51;0;;R$0,00;72;R$15.486,97;5728;R$194,67;R$11.844.340,83;R$0,00;R$0,00;R$0,00;
21;29/07/1996;6;33;36;46;49;53;0;;R$0,00;63;R$17.694,19;5030;R$221,62;R$13.182.021,44;R$0,00;R$0,00;R$0,00;
22;05/08/1996;1;9;31;38;46;56;0;;R$0,00;47;R$27.212,90;4865;R$262,90;R$14.716.828,84;R$0,00;R$0,00;R$0,00;
23;12/08/1996;17;37;39;51;52;59;0;;R$0,00;74;R$20.198,46;4897;R$305,23;R$16.510.452,00;R$0,00;R$0,00;R$0,00;
24;19/08/1996;1;8;14;28;33;43;1;;R$18.661.679,61;227;R$7.897,31;13486;R$132,93;R$0,00;R$0,00;R$0,00;R$0,00;
25;25/08/1996;24;43;50;54;55;56;0;;R$0,00;28;R$26.338,50;2741;R$269,06;R$884.973,50;R$0,00;R$0,00;R$0,00;
26;01/09/1996;10;22;50;53;57;58;0;;R$0,00;16;R$52.473,74;1823;R$460,55;R$1.892.469,30;R$0,00;R$0,00;R$0,00;
27;08/09/1996;13;17;20;33;44;51;0;;R$0,00;99;R$9.306,24;6466;R$142,49;R$2.998.050,68;R$0,00;R$0,00;R$0,00;
28;15/09/1996;3;6;22;24;54;60;0;;R$0,00;50;R$19.749,22;4895;R$201,73;R$4.183.003,48;R$0,00;R$0,00;R$0,00;
29;22/09/1996;3;8;14;43;56;58;1;RS;R$5.401.793,60;44;R$23.083,15;5248;R$193,53;R$0,00;R$0,00;R$0,00;R$0,00;
30;29/09/1996;7;14;15;29;38;50;0;;R$0,00;80;R$11.347,74;5885;R$154,26;R$10.127.520,80;R$0,00;R$0,00;R$0,00;
31;06/10/1996;17;19;28;45;48;56;0;;R$0,00;103;R$8.793,04;5680;R$159,45;R$11.214.340,46;R$0,00;R$0,00;R$0,00;
32;13/10/1996;5;14;33;36;43;44;0;;R$0,00;96;R$11.430,91;6876;R$159,60;R$12.531.181,83;R$0,00;R$0,00;R$0,00;
33;20/10/1996;5;17;33;39;42;49;1;MG;R$13.997.410,74;128;R$9.545,76;8722;R$140,09;R$0,00;R$0,00;R$0,00;R$0,00;
34;27/10/1996;13;15;17;40;53;57;0;;R$0,00;51;R$13.604,06;2627;R$264,11;R$832.568,20;R$0,00;R$0,00;R$0,00;
35;03/11/1996;4;16;21;23;54;57;0;;R$0,00;39;R$20.051,18;3576;R$218,68;R$1.770.963,49;R$0,00;R$0,00;R$0,00;
36;10/11/1996;3;13;17;25;29;51;0;;R$0,00;143;R$6.238,12;8548;R$104,36;R$2.841.425,78;R$0,00;R$0,00;R$0,00;
37;17/11/1996;6;7;22;38;52;60;0;;R$0,00;47;R$16.848,61;3695;R$214,32;R$3.791.687,26;R$0,00;R$0,00;R$0,00;
38;24/11/1996;10;42;43;45;54;55;0;;R$0,00;24;R$38.863,10;1999;R$466,59;R$4.910.944,53;R$0,00;R$0,00;R$0,00;
39;01/12/1996;12;16;37;45;52;56;0;;R$0,00;73;R$13.459,05;4444;R$221,09;R$13.456.111,33;R$0,00;R$0,00;R$0,00;
40;08/12/1996;3;5;8;12;46;47;0;;R$0,00;189;R$7.789,93;12117;R$121,51;R$15.222.867,04;R$0,00;R$0,00;R$0,00;
41;15/12/1996;12;26;35;38;39;47;1;BA;R$17.019.238,50;148;R$10.114,70;10182;R$147,03;R$0,00;R$0,00;R$0,00;R$0,00;GANHADOR DA CIDADE DE SALVADOR, ESTADO DA BAHIA
42;22/12/1996;7;11;19;24;33;36;0;;R$0,00;201;R$3.684,64;9580;R$77,31;R$888.735,02;R$0,00;R$0,00;R$0,00;
43;29/12/1996;2;6;17;25;26;58;0;;R$0,00;75;R$9.738,03;5070;R$144,06;R$1.765.157,22;R$0,00;R$0,00;R$0,00;
44;05/01/1997;14;18;29;38;44;47;0;;R$0,00;103;R$7.099,32;7742;R$94,45;R$2.642.633,14;R$0,00;R$0,00;R$0,00;
45;12/01/1997;7;30;37;44;53;55;0;;R$0,00;33;R$27.201,47;3004;R$298,82;R$3.719.811,46;R$0,00;R$0,00;R$0,00;
46;19/01/1997;1;23;24;32;46;60;0;;R$0,00;91;R$9.982,42;6263;R$145,04;R$4.809.891,56;R$0,00;R$0,00;R$0,00;
47;26/01/1997;3;17;25;35;48;56;0;;R$0,00;210;R$4.458,44;10873;R$85,94;R$5.933.418,51;R$0,00;R$0,00;R$0,00;
48;02/02/1997;2;5;28;34;47;50;0;;R$0,00;132;R$7.482,95;7454;R$132,25;R$7.118.717,38;R$0,00;R$0,00;R$0,00;
49;09/02/1997;7;13;33;35;43;55;1;RJ;R$8.405.156,76;155;R$6.916,34;9830;R$108,85;R$0,00;R$0,00;R$0,00;R$0,00;Ganhador  RJ (Barra Mansa)
50;16/02/1997;6;16;21;44;57;58;0;;R$0,00;31;R$25.241,25;2800;R$278,91;R$8.917.830,39;R$0,00;R$0,00;R$0,00;
51;23/02/1997;17;23;24;25;42;47;0;;R$0,00;143;R$7.231,47;9361;R$110,25;R$10.158.749,73;R$0,00;R$0,00;R$0,00;
52;02/03/1997;15;30;38;46;58;59;0;;R$0,00;77;R$15.544,23;6442;R$185,43;R$11.595.036,71;R$0,00;R$0,00;R$0,00;
53;09/03/1997;3;13;16;38;42;46;0;;R$0,00;210;R$6.337,79;10941;R$121,41;R$13.192.159,46;R$0,00;R$0,00;R$0,00;
54;16/03/1997;5;9;18;21;36;56;2;"BA; SP";R$7.469.653,99;207;R$7.033,61;13067;R$111,20;R$0,00;R$0,00;R$0,00;R$0,00;Ganhadores dos estados: BA e SP.
55;23/03/1997;2;14;23;29;38;52;0;;R$0,00;66;R$10.817,63;3840;R$185,56;R$856.756,39;R$0,00;R$0,00;R$0,00;
56;30/03/1997;2;7;20;35;51;59;0;;R$0,00;48;R$12.142,20;2599;R$223,81;R$1.556.147,46;R$0,00;R$0,00;R$0,00;
57;06/04/1997;7;16;17;27;34;59;0;;R$0,00;79;R$10.699,10;6173;R$136,65;R$2.570.421,80;R$0,00;R$0,00;R$0,00;
58;13/04/1997;12;27;30;37;44;49;1;SP;R$3.631.304,91;65;R$13.601,07;5040;R$175,06;R$0,00;R$0,00;R$0,00;R$0,00;Ganhador do Estado: SP
59;20/04/1997;2;8;13;28;34;54;0;;R$0,00;90;R$7.312,34;5351;R$122,75;R$789.733,42;R$0,00;R$0,00;R$0,00;
60;27/04/1997;3;14;15;20;21;38;0;;R$0,00;129;R$7.111,47;7914;R$115,69;R$9.478.249,26;R$0,00;R$0,00;R$0,00;
61;04/05/1997;8;18;29;42;44;59;0;;R$0,00;52;R$18.902,94;3866;R$253,76;R$10.657.792,45;R$0,00;R$0,00;R$0,00;
62;11/05/1997;6;8;13;24;31;52;0;;R$0,00;119;R$9.968,70;8613;R$137,46;R$12.081.323,45;R$0,00;R$0,00;R$0,00;
63;18/05/1997;9;25;26;40;41;49;1;MG;R$13.680.019,57;82;R$16.246,91;6359;R$209,10;R$0,00;R$0,00;R$0,00;R$0,00;
64;25/05/1997;8;12;23;50;54;60;0;;R$0,00;29;R$23.309,96;2441;R$276,38;R$811.186,58;R$0,00;R$0,00;R$0,00;
65;01/06/1997;1;5;20;25;32;34;0;;R$0,00;61;R$11.542,37;4932;R$142,48;R$1.656.088,09;R$0,00;R$0,00;R$0,00;
66;08/06/1997;12;13;15;26;33;48;0;;R$0,00;102;R$8.054,25;7686;R$106,68;R$2.641.927,81;R$0,00;R$0,00;R$0,00;
67;15/06/1997;12;14;17;27;47;52;0;;R$0,00;83;R$10.617,25;5479;R$160,52;R$3.699.406,44;R$0,00;R$0,00;R$0,00;
68;22/06/1997;1;3;12;13;53;59;0;;R$0,00;49;R$18.496,73;4758;R$190,11;R$4.787.014,46;R$0,00;R$0,00;R$0,00;
69;29/06/1997;25;34;45;53;56;58;0;;R$0,00;55;R$17.271,48;3661;R$258,96;R$5.926.931,93;R$0,00;R$0,00;R$0,00;
